;plots;sp;obs;dark07;Predictions.log10MDD
1;AL01;Acalypha.brasiliensis;0;1;0.857998697
2;AL01;Aeschynomene.martii;0;1;0.857998697
3;AL01;Agonandra.brasiliensis;0;0;0.857998697
4;AL01;Albizia.inundata;0;0;0.857998697
5;AL01;Albizia.niopoides;0;0;0.857998697
6;AL01;Albizia.polycephala;0;0;0.857998697
7;AL01;Alibertia.edulis;0;0;2.349410474
8;AL01;Allamanda.blanchetii;0;1;0.857998697
9;AL01;Allophylus.edulis;0;0;2.349410474
10;AL01;Allophylus.quercifolius;0;1;2.349410474
11;AL01;Allophylus.racemosus;0;0;2.349410474
12;AL01;Alseis.floribunda;0;1;0.857998697
13;AL01;Alternanthera.brasiliana;0;0;0.857998697
14;AL01;Alternanthera.tenella;0;0;0.857998697
15;AL01;Amasonia.campestris;0;0;0.857998697
16;AL01;Amburana.cearensis;0;0;0.857998697
17;AL01;Anacardium.occidentale;0;0;0.857998697
18;AL01;Anadenanthera.colubrina;0;0;0.857998697
19;AL01;Anisacanthus.trilobus;0;0;0.857998697
20;AL01;Annona.leptopetala;0;0;0.857998697
21;AL01;Annona.vepretorum;0;1;2.349410474
22;AL01;Apuleia.leiocarpa;0;0;0.857998697
23;AL01;Aralia.warmingiana;0;0;0.857998697
24;AL01;Arrojadoa.rhodantha;0;1;0.857998697
25;AL01;Aspidosperma.cuspa;0;0;2.033641452
26;AL01;Aspidosperma.discolor;0;0;0.857998697
27;AL01;Aspidosperma.multiflorum;0;0;2.033641452
28;AL01;Aspidosperma.pyrifolium;0;1;0.857998697
29;AL01;Aspidosperma.subincanum;0;0;0.857998697
30;AL01;Astronium.fraxinifolium;0;0;0.857998697
31;AL01;Astronium.urundeuva;0;1;0.857998697
32;AL01;Averrhoidium.gardnerianum;0;1;2.349410474
33;AL01;Balfourodendron.molle;0;1;0.857998697
34;AL01;Barnebya.harleyi;0;0;0.857998697
35;AL01;Bauhinia.acuruana;0;0;0.857998697
36;AL01;Bauhinia.cheilantha;0;1;1.224017133
37;AL01;Bauhinia.dubia;0;0;0.857998697
38;AL01;Bauhinia.forficata;0;0;0.857998697
39;AL01;Bauhinia.pentandra;0;0;1.224017133
40;AL01;Bauhinia.pulchella;0;0;1.224017133
41;AL01;Bauhinia.subclavata;0;0;0.857998697
42;AL01;Bauhinia.ungulata;0;0;1.224017133
43;AL01;Begonia.saxicola;0;0;0.857998697
44;AL01;Borreria.verticillata;0;0;0.857998697
45;AL01;Bougainvillea.praecox;0;0;0.857998697
46;AL01;Bowdichia.virgilioides;0;0;1.224017133
47;AL01;Brosimum.gaudichaudii;0;0;2.349410474
48;AL01;Brunfelsia.uniflora;0;1;0.857998697
49;AL01;Buchenavia.tetraphylla;0;0;0.857998697
50;AL01;Byrsonima.gardneriana;1;0;2.349410474
51;AL01;Byrsonima.sericea;0;0;2.349410474
52;AL01;Byrsonima.vacciniifolia;0;0;2.349410474
53;AL01;Calliandra.aeschynomenoides;0;1;0.857998697
54;AL01;Calliandra.depauperata;0;1;0.857998697
55;AL01;Calliandra.umbellifera;0;0;0.857998697
56;AL01;Callisthene.fasciculata;0;0;0.857998697
57;AL01;Callisthene.microphylla;0;0;2.033641452
58;AL01;Campomanesia.aromatica;0;0;0.857998697
59;AL01;Campomanesia.eugenioides;0;1;2.349410474
60;AL01;Campomanesia.velutina;0;0;0.857998697
61;AL01;Capsicum.parvifolium;0;0;0.857998697
62;AL01;Casearia.guianensis;0;0;2.349410474
63;AL01;Casearia.selloana;0;0;2.349410474
64;AL01;Casearia.sylvestris;0;0;2.349410474
65;AL01;Cassia.ferruginea;0;0;0.857998697
66;AL01;Cavanillesia.umbellata;0;0;0.857998697
67;AL01;Cecropia.pachystachya;0;1;0.857998697
68;AL01;Cedrela.fissilis;0;0;0.857998697
69;AL01;Cedrela.odorata;0;1;0.857998697
70;AL01;Ceiba.glaziovii;0;1;0.857998697
71;AL01;Ceiba.pubiflora;0;0;0.857998697
72;AL01;Celtis.brasiliensis;0;0;2.349410474
73;AL01;Celtis.iguanaea;0;0;2.349410474
74;AL01;Cenostigma.bracteosum;0;0;1.224017133
75;AL01;Cenostigma.macrophyllum;0;0;1.224017133
76;AL01;Cenostigma.microphyllum;0;0;1.224017133
77;AL01;Cenostigma.nordestinum;0;0;1.224017133
78;AL01;Cenostigma.pluviosum;0;0;1.224017133
79;AL01;Cenostigma.pyramidale;1;0;1.224017133
80;AL01;Centrolobium.sclerophyllum;0;0;0.857998697
81;AL01;Cereus.albicaulis;0;0;0.857998697
82;AL01;Cereus.jamacaru;0;1;0.857998697
83;AL01;Chamaecrista.amiciella;1;0;0.857998697
84;AL01;Chamaecrista.belemii;0;1;0.857998697
85;AL01;Chamaecrista.calycioides;0;0;0.857998697
86;AL01;Chamaecrista.desvauxii;0;0;0.857998697
87;AL01;Chamaecrista.duckeana;0;0;0.857998697
88;AL01;Chamaecrista.eitenorum;0;0;1.224017133
89;AL01;Chamaecrista.flexuosa;0;0;0.857998697
90;AL01;Chamaecrista.nictitans;0;0;0.857998697
91;AL01;Chamaecrista.ramosa;0;0;0.857998697
92;AL01;Chamaecrista.zygophylloides;0;0;0.857998697
93;AL01;Chiococca.alba;0;0;0.857998697
94;AL01;Chloroleucon.dumosum;0;0;0.857998697
95;AL01;Chloroleucon.foliolosum;0;1;1.590035568
96;AL01;Chloroleucon.mangense;0;0;1.064206894
97;AL01;Chloroleucon.tortum;0;0;1.064206894
98;AL01;Chomelia.obtusa;0;0;2.349410474
99;AL01;Chrysophyllum.marginatum;0;0;2.349410474
100;AL01;Clidemia.hirta;0;0;1.112835165
101;AL01;Clusia.nemorosa;0;0;2.349410474
102;AL01;Cnidoscolus.bahianus;0;1;1.43022533
103;AL01;Cnidoscolus.oligandrus;0;0;1.590035568
104;AL01;Cnidoscolus.pubescens;0;1;1.590035568
105;AL01;Cnidoscolus.quercifolius;0;1;1.43022533
106;AL01;Cnidoscolus.vitifolius;0;0;1.43022533
107;AL01;Coccoloba.schwackeana;0;0;2.349410474
108;AL01;Cochlospermum.regium;0;0;1.590035568
109;AL01;Cochlospermum.vitifolium;0;0;2.033641452
110;AL01;Colicodendron.yco;0;1;1.590035568
111;AL01;Colubrina.cordifolia;0;0;1.224017133
112;AL01;Combretum.duarteanum;0;0;1.590035568
113;AL01;Combretum.glaucocarpum;0;0;2.033641452
114;AL01;Combretum.hilarianum;0;0;1.590035568
115;AL01;Combretum.lanceolatum;0;0;1.590035568
116;AL01;Combretum.laxum;0;0;2.033641452
117;AL01;Combretum.leprosum;0;0;2.033641452
118;AL01;Combretum.mellifluum;0;0;2.033641452
119;AL01;Combretum.monetaria;0;1;2.033641452
120;AL01;Commiphora.leptophloeos;0;1;2.349410474
121;AL01;Conocliniopsis.prasiifolia;0;0;1.590035568
122;AL01;Copaifera.coriacea;0;0;2.349410474
123;AL01;Copaifera.langsdorffii;0;0;1.590035568
124;AL01;Copaifera.martii;0;0;2.349410474
